Tipo,Matéria,Assunto,Questões Encontradas,Percentual (%),Freq. Acumulada,Questões no Caderno
MATÉRIA,História,,1447,25.38%,,1447
ASSUNTO,História,Guerra Fria e as Superpotências,70,1.23%,4.84%,0
ASSUNTO,História,As Revoluções Burguesas e o Nacionalismo,69,1.21%,9.61%,0
ASSUNTO,História,Imperialismo do Século XIX,63,1.11%,13.96%,0
ASSUNTO,História,"Revolução Industrial, Vida Econômica e Transformações Sociais",59,1.03%,18.04%,0
ASSUNTO,História,A Crise Internacional e a Primeira Guerra Mundial,54,0.95%,21.77%,0
ASSUNTO,História,Vida Política pós-1848 e o Fim de Século,50,0.88%,25.22%,0
ASSUNTO,História,Segunda Guerra Mundial (1939-1945),44,0.77%,28.27%,0
ASSUNTO,História,A América no Século XIX,43,0.75%,31.24%,0
ASSUNTO,História,Descolonização Afro-asiática,39,0.68%,33.93%,0
ASSUNTO,História,Artes e Cultura desde 1789,39,0.68%,36.63%,0
ASSUNTO,História,Economia no Século XX,33,0.58%,38.91%,0
ASSUNTO,História,O Congresso de Viena e a Restauração do Antigo Regime,29,0.51%,40.91%,0
ASSUNTO,História,A República Oligárquica (1894 - 1930). Política do Café com Leite. Coronelismo,27,0.47%,42.78%,0
ASSUNTO,História,Período Joanino e Crise do Sistema Colonial,26,0.46%,44.57%,0
ASSUNTO,História,Política Externa na Primeira República e o Brasil na Primeira Guerra Mundial,26,0.46%,46.37%,0
ASSUNTO,História,A Independência (1822) e a Guerra de Independência,25,0.44%,48.10%,0
ASSUNTO,História,"Governo JK (Plano de Metas, Construção de Brasília)",25,0.44%,49.83%,0
ASSUNTO,História,Política Externa na República Liberal ,25,0.44%,51.55%,0
ASSUNTO,História,O Estado Novo (1937-1945): a Guinada Autoritária e a Constituição de 1937,24,0.42%,53.21%,0
ASSUNTO,História,A Redemocratização na Nova República e a Constituição de 1988,23,0.40%,54.80%,0
ASSUNTO,História,Revolução Russa (1917),23,0.40%,56.39%,0
ASSUNTO,História,Política Externa do Regime Militar,21,0.37%,57.84%,0
ASSUNTO,História,América Latina no Século XX,21,0.37%,59.30%,0
ASSUNTO,História,Revolução Francesa e Era Napoleônica,20,0.35%,60.68%,0
ASSUNTO,História,"Bandeirantes e Expansão Territorial nos Séculos XVI a XVIII. Tratados de Madri, Badajoz, Santo Idelfonso, El Pardo, Utrecht",19,0.33%,61.99%,0
ASSUNTO,História,Política Externa e Relações Internacionais na Era Vargas. O Brasil na Segunda Guerra,18,0.32%,63.23%,0
ASSUNTO,História,Europa no Século XX: da Reconstrução à União Europeia,18,0.32%,64.48%,0
ASSUNTO,História,"Revoltas Provinciais no Período Regencial (Cabanagem, Farroupilha, Sabinada, Balaiada)",17,0.30%,65.65%,0
ASSUNTO,História,Política Externa do Primeiro Reinado (Reconhecimento da Independência),16,0.28%,66.76%,0
ASSUNTO,História,A Ascensão de Getúlio Vargas (1930 a 1937) - Da Revolução de 1930 ao Governo Constitucional,16,0.28%,67.86%,0
